"","SPY","VGT","VHT","VCR","VOX","VFH","VIS","VDC","VPU","VAW","VDE","VNQ"
"2007-01-04",0.00211979970452776,0.0180759238526837,0.0110012973455509,0.00360501025872149,-0.00313198032034692,-0.000457981515379019,-0.000913708009461492,0.00202392531525274,-0.000648840831237897,-0.00512945904881405,-0.0207621391304663,0.00129627169414752
"2007-01-05",-0.00800797137752232,-0.00768009877710037,-0.00469982240939503,-0.00920169067771717,-0.0144243929683929,-0.0101273951721693,-0.00810700992717277,-0.00859056093860026,-0.0190061048937597,-0.00889710001778764,0.00758874748552773,-0.0186923323552843
"2007-01-08",0.00461467093472977,0.0013154283702165,0.00122049728615389,0.000660321289388635,0.00538206067668576,0.00384826419816923,0.00306704431467871,0.00328870788991571,-0.0030480213352315,0.00144047432727628,0.00061943032386817,0.00145026271088311
"2007-01-09",-0.000850507451923476,0.0054312212216062,-0.00209342934917967,0.00510042563596749,-0.00565891959558584,-0.00169154736159806,0.00290486301977584,0.000156350533402306,0.00251906852874992,-0.00244941495074678,-0.0107087580359529,0.0125692873760116
"2007-01-10",0.00332601616490935,0.00633024151923861,0.0026161891364651,0.00784720917571929,0.00441927470308308,0.00337998535645895,0.000763050422458304,0.00654428073468804,0.00251232654953518,0.00632800314843699,-0.0141199595555635,0.0127981083502752
"2007-01-11",0.00437084024817264,0.0085014048875842,0.0103969515967973,0.0127825014685501,0.0145010441189947,0.00703051307102876,0.0107731481600327,0.00696414268570366,-0.000132091029831186,0.0128208345592767,-0.00803178500567446,0.0128901054507454
"2007-01-12",0.00756809667738054,0.00495599706921769,0.00635799926314415,0.00272940812117757,0.00460702335885299,0.00182612838948201,0.00316431878858471,-0.000462741031066418,-0.00503190874450956,0.0132172762583175,0.0254012305304654,0.00316536245636561
"2007-01-16",-0.00195636779095408,-0.003301218520956,0.0022241992981523,0.00272174798026536,-0.00148820869558051,0.00167067906173825,0.00689653070921492,0.00185003184254149,0.00132651952313014,0.000419109328917472,-0.0104109187776722,0.0140581295628905
"2007-01-17",0.000419829900566896,-0.0127578660555504,0.00460414019729704,-0.00111997335407211,-0.00774737814925489,-0.00288765070926097,-0.00239358519565253,-0.000770430700726168,0.00039795258322282,0.00278844807901754,0.0106605981778421,-0.00037422173389552
"2007-01-18",-0.00336235265174399,-0.0189731185172961,0.00237882364027539,0.0049501955382997,0.00612155477410711,-0.002743366909609,-0.00375102609471913,0.000770430700726098,-0.00225569956388848,-0.00474498743938509,-0.00763837710327189,-0.00124744702144326
"2007-01-19",0.00196283131181392,0.000379224701561261,0.0020347617433705,0,0.0031140320707283,0.00228625693725264,-0.000601421860246926,0.00230749628021861,0.00490231064183144,0.0127883697710078,0.0250753155382457,0.00993786687884872
"2007-01-22",-0.00308570253920856,-0.00856724026406707,-0.00645718747658391,-0.00559053204676842,-0.00216532696664256,-0.00182841533215406,-0.0110416296468222,-0.00323234794912834,-0.000793219856316746,-0.00915795321673105,-0.00319270312396463,-0.00844067490203199
"2007-01-23",0.00294560788116015,-0.00114803482380812,-0.00375761977490204,0.00208014888603556,0.00594370083981031,0.000609780468179433,0.0107406879411493,0.00230997951775898,0.00382862886570166,0.0124672771393454,0.0233390838464533,0.00472537374228259
"2007-01-24",0.00802094134494484,0.0182102127252764,0.0078406561671281,0.00557900468686219,0.0232953430290651,0.00880431327482945,0.00120295790305899,0.00383731067820363,0.00669774111645021,0.0125854878505594,0.00598934005192079,0.0129433345822644
"2007-01-25",-0.0118097381786409,-0.00906407757638459,-0.00596024033089483,-0.0158621977320289,-0.00752834752265947,0.0141053695929069,-0.00920975108295196,-0.00784417424850868,-0.00524942095925368,-0.00490591370958724,-0.0200250868349341,0.00610498188372739
